Gene stable ID,NCBI gene (formerly Entrezgene) ID,Gene name
ENSG00000210049,,MT-TF
ENSG00000211459,,MT-RNR1
ENSG00000210077,,MT-TV
ENSG00000210082,,MT-RNR2
ENSG00000209082,,MT-TL1
ENSG00000198888,4535,MT-ND1
ENSG00000210100,,MT-TI
ENSG00000210107,,MT-TQ
ENSG00000210112,,MT-TM
ENSG00000198763,4536,MT-ND2
ENSG00000210117,,MT-TW
ENSG00000210127,,MT-TA
ENSG00000210135,,MT-TN
ENSG00000210140,,MT-TC
ENSG00000210144,,MT-TY
ENSG00000198804,4512,MT-CO1
ENSG00000210151,113219467,MT-TS1
ENSG00000210154,,MT-TD
ENSG00000198712,4513,MT-CO2
ENSG00000210156,,MT-TK
ENSG00000228253,4509,MT-ATP8
ENSG00000198899,4508,MT-ATP6
ENSG00000198938,4514,MT-CO3
ENSG00000210164,,MT-TG
ENSG00000198840,4537,MT-ND3
ENSG00000210174,,MT-TR
ENSG00000212907,4539,MT-ND4L
ENSG00000198886,4538,MT-ND4
ENSG00000210176,,MT-TH
ENSG00000210184,,MT-TS2
ENSG00000210191,,MT-TL2
ENSG00000198786,4540,MT-ND5
ENSG00000198695,4541,MT-ND6
ENSG00000210194,,MT-TE
ENSG00000198727,4519,MT-CYB
ENSG00000210195,,MT-TT
ENSG00000210196,,MT-TP
ENSG00000299200,,
ENSG00000308964,,
ENSG00000278457,,5S_rRNA
ENSG00000271254,124905564,
ENSG00000276197,,
ENSG00000278573,,
ENSG00000278704,,
ENSG00000309338,,
ENSG00000309357,,
ENSG00000297432,,
ENSG00000297449,,
ENSG00000299314,,
ENSG00000295063,100505874,
ENSG00000303867,124907012,
ENSG00000303867,124908455,
ENSG00000309229,,
ENSG00000278294,124907156,5_8S_rRNA
ENSG00000278294,124907485,5_8S_rRNA
ENSG00000278294,124908250,5_8S_rRNA
ENSG00000274917,100008587,RNA5-8SN5
ENSG00000274917,124907114,RNA5-8SN5
ENSG00000274917,124907115,RNA5-8SN5
ENSG00000274917,124907116,RNA5-8SN5
ENSG00000274917,124907117,RNA5-8SN5
ENSG00000274917,124907118,RNA5-8SN5
ENSG00000274917,124907119,RNA5-8SN5
ENSG00000274917,124907120,RNA5-8SN5
ENSG00000274917,124907121,RNA5-8SN5
